"","series","period","duration","df_defol","obr_defol"
"1","DMJ02","1996 : 1996",1,TRUE,FALSE
"2","DMJ07","1996 : 1996",1,TRUE,FALSE
"3","DMJ24","1996 : 1996",1,TRUE,FALSE
"4","DMJ25","1989 : 1996",8,FALSE,TRUE
"5","DMJ26","1863 : 1996",134,TRUE,FALSE
"6","EFK03","1892 : 1901",10,TRUE,FALSE
"7","EFK04","1981 : 1987",7,FALSE,TRUE
"8","EFK05","1985 : 1987",3,FALSE,TRUE
"9","EFK08","1889 : 1901",13,TRUE,FALSE
"10","EFK09","1978 : 1987",10,FALSE,TRUE
"11","EFK10","1848 : 1858",11,TRUE,FALSE
"12","EFK17","1903 : 1911",9,TRUE,FALSE
"13","EFK19","1968 : 1976",9,TRUE,FALSE
"14","EFK21","1980 : 1982",3,FALSE,TRUE
"15","EFK22","1957 : 1970",14,TRUE,FALSE
"16","EFK24","1918 : 1930",13,TRUE,FALSE
"17","EFK29","1956 : 1961",6,TRUE,FALSE
"18","EFK30","1860 : 1868",9,TRUE,FALSE
"19","EFK31","1936 : 1950",15,TRUE,FALSE
"20","EFK33","1892 : 1899",8,FALSE,TRUE
"21","EFK35","1981 : 1987",7,FALSE,TRUE
"22","EFK38","1954 : 1962",9,TRUE,FALSE
"23","FCC01","2002 : 2009",8,FALSE,TRUE
"24","FCC02","1832 : 2009",178,TRUE,TRUE
"25","FCC04","2005 : 2009",5,FALSE,TRUE
"26","FCC05","1810 : 2009",200,TRUE,TRUE
"27","FCC06","2005 : 2009",5,FALSE,TRUE
"28","FCC07","1870 : 1882",13,TRUE,FALSE
"29","FCC11","1810 : 1821",12,TRUE,FALSE
"30","FCC12","2005 : 2009",5,FALSE,TRUE
"31","FCC14","1770 : 1778",9,TRUE,FALSE
"32","FCC17","2002 : 2009",8,FALSE,TRUE
"33","FCC18","1742 : 2009",268,TRUE,TRUE
"34","FCC19","2005 : 2009",5,FALSE,TRUE
"35","FCC20","1810 : 1821",12,TRUE,FALSE
"36","FCC21","2005 : 2009",5,FALSE,TRUE
"37","FCC23","2006 : 2009",4,FALSE,TRUE
"38","FCC24","2004 : 2009",6,FALSE,TRUE
"39","FCC26","2005 : 2009",5,FALSE,TRUE
"40","FCC27","1812 : 2009",198,TRUE,TRUE
"41","FCC30","1924 : 1936",13,TRUE,TRUE
"42","FCC31","2005 : 2009",5,FALSE,TRUE
"43","FNL02","1937 : 1952",16,TRUE,TRUE
"44","FNL04","1882 : 1921",40,TRUE,FALSE
"45","FNL05","1929 : 1945",17,TRUE,FALSE
"46","FNL12","1883 : 1981",99,TRUE,TRUE
"47","FNL15","1884 : 1892",9,TRUE,FALSE
"48","FNL16","1883 : 1932",50,TRUE,FALSE
"49","FNL17","1985 : 1986",2,FALSE,TRUE
"50","FNL21","1979 : 1982",4,FALSE,TRUE
"51","MLC01","1769 : 1777",9,TRUE,FALSE
"52","MLC03","1709 : 1770",62,TRUE,FALSE
"53","MLC06","1709 : 2010",302,TRUE,TRUE
"54","MLC10","1707 : 1716",10,TRUE,FALSE
"55","MLC11","1792 : 1803",12,TRUE,FALSE
"56","MLC12","1718 : 1728",11,TRUE,FALSE
"57","MLC14","1769 : 1778",10,TRUE,FALSE
"58","MLC15","1769 : 2010",242,TRUE,TRUE
"59","MLC17","2002 : 2010",9,FALSE,TRUE
"60","MLC20","1807 : 1815",9,TRUE,FALSE
"61","MLC21","1640 : 1668",29,TRUE,FALSE
"62","MLC23","1769 : 1780",12,TRUE,FALSE
"63","MLC26","1606 : 1614",9,TRUE,FALSE
"64","OPK031","1925 : 1935",11,TRUE,FALSE
"65","OPK071","1864 : 1873",10,TRUE,FALSE
"66","OPK072","1864 : 1872",9,TRUE,FALSE
"67","OPK191","1922 : 1930",9,FALSE,TRUE
"68","OPK192","1902 : 1914",13,TRUE,FALSE
"69","OPK201","1740 : 1752",13,TRUE,FALSE
"70","RCC04B","2017 : 2017",1,FALSE,TRUE
"71","RCC07A","2017 : 2017",1,FALSE,TRUE
"72","RCC14A","1766 : 1773",8,FALSE,TRUE
"73","RCC16B","1915 : 1924",10,TRUE,FALSE
"74","RCC18A","1825 : 1837",13,TRUE,TRUE
"75","RCC21A","2014 : 2017",4,FALSE,TRUE
"76","RCC9A","1915 : 1927",13,TRUE,FALSE
"77","TRL07","1994 : 1996",3,FALSE,TRUE
"78","TRL08","1995 : 1997",3,FALSE,TRUE
"79","TRL11","1925 : 1997",73,TRUE,TRUE
"80","TRL12","1852 : 1860",9,TRUE,FALSE
"81","TRL16","1925 : 1997",73,TRUE,TRUE
"82","TRL17","1805 : 1816",12,TRUE,FALSE
"83","TRL26","1852 : 1864",13,TRUE,FALSE
"84","TRL31","1925 : 1950",26,TRUE,FALSE
"85","TRL41","1912 : 1996",85,TRUE,TRUE
